procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 777744 6412036  23908 258352  888    0 12868    16 1478 3365 47  8 41  4  0
 5  0 777744 6255820  27420 256772    0    0  3512     0 1620 3661 54  9 35  2  0
 5  0 777744 6255820  27420 256872    0    0     0     0  191  730 60  5 35  0  0
 5  0 777744 6159164  27420 256876    0    0     0     0  838 2068 59  6 35  0  0
 5  0 777744 6070132  27420 256872    0    0     0     0  205  731 60  5 35  0  0
 5  1 777616 5969444  27472 256912  164    0   172  8420 1447 3739 60  6 28  7  0
 5  1 777616 5951048  27472 256912    0    0     0     8  909 2869 60  4 23 12  0
 5  1 777612 5929920  27472 256900    4    0     4     0 1453 4263 58  8 23 11  0
 5  1 777612 5895900  27472 256520    0    0     0     0  792 2448 59  7 23 11  0
 5  1 777612 5868444  27472 256480    0    0     0     0 1181 3091 61  5 23 11  0
 5  0 777612 5868588  27480 256484    0    0     0    28  231  817 61  4 34  2  0
 5  0 777612 5867688  27480 256484    0    0     0     0  234 1948 59  7 34  0  0
 5  0 777612 5850804  27480 256484    0    0     0     0  151  562 59  6 35  0  0
 6  0 777612 5850804  27480 256484    0    0     0     0  168  635 59  6 35  0  0
 5  0 777612 5806952  27480 256468    0    0     0     0  213 1377 58  8 34  0  0
 5  0 777612 5804936  27488 256468    0    0     0    16  180  640 59  6 35  0  0
 5  0 777612 5806740  27488 256484    0    0     0  8364  161 1627 61  4 35  0  0
 5  0 777612 5806740  27488 256484    0    0     0     0  157  566 58  7 34  0  0
 5  0 777612 5806236  27488 256468    0    0     0     0  648 1738 62  3 35  0  0
 5  0 777612 5805984  27488 256468    0    0     0     0  166  574 59  6 35  0  0
 5  0 777612 5805480  27496 256116    0    0     0    16  364 1505 60  5 35  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 777612 5805480  27496 256116    0    0     0     0  159  564 59  6 35  0  0
 5  0 777608 5805480  27496 256132    4    0     4     0  805 1917 60  5 35  0  0
 5  0 777608 5805480  27496 256132    0    0     0     0  175  561 59  7 35  0  0
 5  0 777608 5805736  27496 256132    0    0     0     0  200 1456 59  6 35  0  0
 6  0 777608 5805516  27504 256132    0    0     0    16  168  590 60  5 35  0  0
 5  0 777608 5803752  27504 256132    0    0     0     0  161 1753 61  4 35  0  0
 4  0 777524 5795548  27504 256132  104    0   104     0  238  814 54  7 39  0  0
 4  0 773196 5768284  27504 256132    0    0     0     0  980 2376 50  5 45  0  0
 4  0 773196 5758092  27504 256132    0    0     0     0  289  934 48  5 46  0  0
 4  0 773196 5756924  27512 256132    0    0     0    16  872 2137 49  4 46  0  0
 4  1 773032 5755440  27512 256132  472    0   472     0  327  970 49  5 46  0  0
 4  0 772976 5754432  27512 256116   52    0    52     0  898 2179 51  3 46  0  0
 4  0 772976 5750868  27512 256116    0    0     0     0  274  895 50  4 46  0  0
 4  0 772476 5743384  27512 256132  520    0   520     0  907 2213 51  4 45  0  0
 4  0 772476 5739856  27520 256780   28    0   904    16  277  911 48  5 46  0  0
 6  0 772476 5740136  27520 257008    0    0     0     0  839 2018 49  3 47  0  0
 4  0 772476 5739636  27520 256992    0    0     0     0  180  673 48  4 47  0  0
 4  0 772476 5739384  27520 256992    0    0     0     0  860 2077 48  6 46  0  0
 4  0 772476 5739636  27520 257008    0    0     0     0  178  680 48  5 47  0  0
 4  0 772476 5739896  27528 257004    0    0     0    16  864 2081 49  4 47  0  0
 4  0 772476 5739896  27528 257004    0    0     0     4  180  668 49  3 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 772476 5739392  27528 256992    0    0     0     0  868 2068 49  3 48  0  0
 4  0 772476 5739392  27528 256992    0    0     0     0  175  669 49  3 48  0  0
 4  0 772476 5741568  27528 256992    0    0     0     0  856 2045 49  3 48  0  0
 5  0 772476 5739648  27536 256984  152    0   152    16  224  750 49  3 48  0  0
 4  0 772476 5739648  27536 256992    0    0     0     0  816 1991 49  4 47  0  0
 5  1 772444 5733096  27536 257068   76    0   152     0  357 1300 49  5 45  0  0
 5  0 770220 5717612  27536 257112 2604    0  2648     0 1454 3864 60  6 33  1  0
 4  0 770220 5704256  27536 257132    0    0     0     0 1038 2528 56  3 42  0  0
 4  0 770220 5704256  27544 257124    0    0     0    16  187  694 49  2 48  0  0
 4  0 770220 5704004  27544 257116    0    0     0     0  829 2021 49  4 47  0  0
 4  0 770220 5703752  27544 257116    0    0     0     0  187  676 50  1 49  0  0
 5  0 770216 5704780  27544 257116    0    0     0     0  903 2215 51  2 46  0  0
 4  0 770216 5704532  27544 257116    0    0     0     0  177  669 50  1 49  0  0
 4  0 770216 5698672  27552 257108   84    0    84    16  794 1948 50  3 48  0  0
 4  0 770216 5698420  27552 257116    0    0     0     0  172  652 49  4 48  0  0
 4  0 770216 5698672  27552 257116    0    0     0     0  827 2011 49  4 47  0  0
 4  0 770216 5698672  27552 257116    0    0     0     0  179  665 50  1 49  0  0
 4  0 770216 5698924  27552 257116    0    0     0     0  788 1950 50  3 47  0  0
 4  0 770216 5698924  27560 257100    0    0     0    16  187  687 49  2 48  0  0
 4  0 770216 5698420  27560 257100    0    0     0     0  837 1979 49  3 47  0  0
 4  0 770216 5698420  27560 257116    0    0     0     0  179  673 49  4 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 770216 5698420  27560 257116    0    0     0     0  849 2051 47  7 46  0  0
 4  0 770216 5698420  27560 257116    0    0     0     0  181  686 49  4 48  0  0
 6  0 770196 5698748  27568 257116   20    0    20    16  967 2317 50  5 45  0  0
 4  0 770196 5717432  27568 257116    0    0     0     0  264  883 48  4 47  0  0
 5  0 770192 5717432  27568 257116    4    0     4     0  202  735 48  6 46  0  0
 4  0 770192 5718448  27568 257116    0    0     0     0  683 1779 49  4 47  0  0
 4  0 770192 5718448  27568 257116    0    0     0     0  183  689 48  5 47  0  0
 4  0 770192 5718784  27576 257116    0    0     0    16  870 2100 49  3 47  0  0
 4  0 770192 5718888  27576 257132    0    0     0     0  183  675 49  4 48  0  0
 4  0 770192 5719960  27576 257132    0    0     0     8  795 2007 49  4 47  0  0
 4  0 770192 5719960  27576 257132    0    0     0     0  173  681 49  4 48  0  0
 4  0 770192 5720548  27576 257116    0    0     0     0  756 1964 49  4 47  0  0
 4  0 770192 5720548  27584 257108    0    0     0    28  186  679 48  5 47  0  0
 4  0 770192 5719476  27584 257116    0    0     0     0  836 2033 48  6 46  0  0
 4  0 770192 5719588  27584 257116    0    0     0     0  184  667 50  2 49  0  0
 4  0 770192 5719840  27584 257116    0    0     0     0  765 1933 49  4 47  0  0
 4  0 770192 5719840  27584 257116    0    0     0     0  179  667 49  4 48  0  0
 4  0 770192 5720124  27592 257116    0    0     0    16  880 2104 49  5 46  0  0
 4  0 770192 5720124  27592 257116    0    0     0     0  176  659 48  6 47  0  0
 4  0 770192 5721796  27592 257116    0    0     0     0  858 2079 48  5 47  0  0
 4  0 770192 5721796  27592 257116    0    0     0     0  176  659 49  4 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 770192 5721292  27592 257116    0    0     0     0  718 1811 49  3 47  0  0
 4  0 770192 5721292  27600 257108    0    0     0    16  183  669 49  3 48  0  0
 4  0 770192 5721588  27600 257100    0    0     0     0  827 1979 49  4 47  0  0
 4  0 770192 5721588  27600 257100    0    0     0    12  182  673 49  4 48  0  0
 4  0 770192 5723180  27600 257100    0    0     0     0  864 2083 49  4 47  0  0
 4  0 770192 5723372  27608 257116    0    0     0    24  193  703 49  3 48  0  0
 4  0 770192 5722628  27608 257116    0    0     0     0  845 2047 49  4 47  0  0
 4  0 770192 5722376  27608 257116    0    0     0     0  176  671 49  2 48  0  0
 4  0 770192 5722376  27608 257116    0    0     0     0  873 2090 48  6 46  0  0
 4  0 770192 5722376  27608 257100    0    0     0     0  177  676 48  4 47  0  0
 4  0 770192 5721892  27608 257116    0    0     0     0  822 2014 49  4 47  0  0
 4  0 770192 5721892  27616 257120    0    0     0    16  187  687 49  2 48  0  0
 4  0 770192 5719060  27616 257120    0    0     0     0  856 2041 48  6 46  0  0
 4  0 770192 5718560  27616 257120    0    0     0     0  179  676 49  3 48  0  0
 5  0 770192 5719464  27616 257120    0    0     0     0  853 2063 48  6 46  0  0
 4  0 770192 5719576  27616 257104    0    0     0     0  172  660 48  6 46  0  0
 4  0 770192 5719324  27624 257104    0    0     0    16  867 2058 48  5 47  0  0
 4  0 770192 5719072  27624 257120    0    0     0     0  155  681 49  3 48  0  0
 5  0 770192 5718820  27624 257120    0    0     0     0  183  672 48  4 48  0  0
 4  0 770192 5718836  27624 257120    0    0     0     0  779 1935 49  4 47  0  0
 4  0 770192 5718836  27624 257120    0    0     0     0  171  668 48  4 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 770192 5718344  27632 257120    0    0     0    16  800 1954 48  5 47  0  0
 5  0 770192 5718344  27632 257136    0    0     0     0  181  657 49  3 48  0  0
 4  0 770192 5719576  27632 257136    0    0     0     8  869 2122 49  4 47  0  0
 4  0 770188 5718568  27632 257136    0    0     0     0  190  682 49  3 48  0  0
 4  0 770188 5719128  27632 257136    0    0     0     0  752 1882 49  4 47  0  0
 4  0 770188 5718876  27640 257144    0    0     0    28  192  691 48  4 48  0  0
 4  0 770188 5719156  27640 257144    0    0     0     0  764 1908 49  4 47  0  0
 4  0 770184 5719156  27640 257128   16    0    16     0  177  680 49  3 48  0  0
 4  0 770184 5718656  27640 257128    0    0     0     0  785 1901 48  5 46  0  0
 4  0 770184 5730460  27640 257144    0    0     0     0  257  839 48  5 47  0  0
 6  0 770184 5731320  27648 257144    0    0     0    16  776 1889 50  2 47  0  0
 4  0 770184 5731320  27648 257144    0    0     0     0  162  638 48  4 48  0  0
 4  0 770184 5733208  27648 257144    0    0     0     0  678 1739 49  3 47  0  0
 4  0 770184 5732704  27648 257144    0    0     0     0  183  677 48  4 47  0  0
 4  0 770184 5732204  27648 257144    0    0     0     0  752 1870 49  4 47  0  0
 4  0 770184 5732204  27656 257128    0    0     0    16  185  701 49  3 48  0  0
 4  0 770184 5731844  27656 257128    0    0     0     0  828 2049 49  3 48  0  0
 4  0 770184 5731952  27656 257112    0    0     0    16  188  705 48  6 47  0  0
 4  0 770184 5731952  27656 257128    0    0     0     0  779 1933 49  4 47  0  0
 4  0 770184 5731952  27656 257144    0    0     0     0  187  684 48  5 47  0  0
 5  0 770184 5731952  27664 257144    0    0     0    16  701 1787 49  5 46  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 770184 5731952  27664 257144    0    0     0     0  181  653 48  5 47  0  0
 4  0 770184 5729924  27664 257144    0    0     0     0  865 2122 49  4 47  0  0
 4  0 770184 5729924  27664 257144    0    0     0     0  180  662 49  4 48  0  0
 4  0 770184 5729924  27664 257144    0    0     0     0  800 1924 48  6 46  0  0
 4  0 770184 5729672  27672 257136    0    0     0    16  199  708 49  3 48  0  0
 4  0 770184 5729672  27672 257144    0    0     0     0  841 2042 49  3 48  0  0
 4  0 770184 5729672  27672 257144    0    0     0     0  173  677 50  2 48  0  0
 6  0 770184 5728916  27672 257128    0    0     0     0  754 1855 50  1 48  0  0
 4  0 770184 5728664  27672 257144    0    0     0     0  185  712 49  3 48  0  0
 4  0 770184 5728664  27680 257144    0    0     0    16  172  661 49  2 49  0  0
 4  0 770184 5728160  27680 257112    0    0     0     0  725 1822 49  4 47  0  0
 4  0 770184 5728160  27680 257112    0    0     0     0  176  681 49  2 49  0  0
 4  0 770184 5727908  27680 257144    0    0     0     0  746 1908 50  3 48  0  0
 4  0 770184 5727908  27680 257144    0    0     0     0  187  668 48  4 48  0  0
 4  0 770184 5727656  27688 257144    0    0     0    16  855 2067 48  5 47  0  0
 4  0 770184 5727656  27688 257148    0    0     0     0  186  683 48  6 47  0  0
 4  0 770184 5727404  27688 257148    0    0     0     8  837 2039 49  5 47  0  0
 4  0 770184 5727404  27688 257148    0    0     0     0  184  668 48  4 47  0  0
 5  0 770184 5727152  27688 257148    0    0     0     0  719 1813 49  4 47  0  0
 4  0 770184 5727152  27696 257148    0    0     0    28  183  681 48  4 47  0  0
 4  0 770184 5727152  27696 257132    0    0     0     0  837 2055 49  3 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 770184 5723056  27696 257132    0    0     0     0  190  706 48  6 46  0  0
 4  0 770184 5722804  27696 257132    0    0     0     0  871 2112 48  5 46  0  0
 4  0 770184 5722804  27696 257132    0    0     0     0  186  680 49  2 48  0  0
 4  0 770184 5722300  27704 257132    0    0     0    16  734 1879 49  4 47  0  0
 4  0 769716 5722300  27704 257132  600    0   600     0  208  742 50  2 48  0  0
 4  0 769716 5722300  27704 257132    0    0     0     0  864 2062 48  6 46  0  0
 4  0 769716 5722048  27704 257132    0    0     0     0  183  666 49  2 49  0  0
 5  0 769716 5721544  27704 257132    0    0     0     0  783 1944 50  1 48  0  0
 4  0 769716 5721544  27712 257132    0    0     0    16  177  660 50  1 49  0  0
 4  0 769716 5720788  27712 257132    0    0     0     0  717 1797 49  3 47  0  0
 4  0 769716 5720788  27712 257132    0    0     0    12  186  683 49  3 48  0  0
 4  0 769716 5722220  27712 257132    0    0     0     0  874 2103 49  4 47  0  0
 4  0 769716 5722220  27712 257132    0    0     0     0  186  663 50  2 48  0  0
 4  0 769712 5716176  27720 264216  220    0  7304    16  971 2301 49  4 46  1  0
 4  0 769708 5716176  27720 264216   16    0    16     0  182  680 48  5 47  0  0
 4  0 769708 5716176  27720 264216    0    0     0     0  830 2025 49  3 47  0  0
 4  0 769708 5716176  27720 264216    0    0     0     0  179  661 49  3 48  0  0
 4  0 769708 5716176  27720 264216    0    0     0     0  679 1701 48  6 46  0  0
 4  0 769708 5716176  27728 264216    0    0   104    16  189  674 49  4 47  0  0
 4  0 769708 5716176  27728 264320    0    0     0     0  761 1903 49  4 47  0  0
 4  0 769708 5718432  27728 264320    0    0     0     0  199  722 49  4 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 769708 5716348  27728 264320    0    0     0     0  865 2064 49  5 46  0  0
 4  0 769708 5716628  27728 264320   12    0    12     0  171  666 48  5 47  0  0
 5  0 769708 5716628  27736 264320    0    0     0    16  193  700 47  6 46  0  0
 4  0 769708 5718884  27736 264320    0    0     0     0  872 2058 48  6 46  0  0
 4  0 769708 5718900  27736 264336    0    0     0     0  179  681 48  5 47  0  0
 5  0 769708 5718900  27736 264336    0    0     0     0  846 2033 49  4 47  0  0
 4  0 769700 5718900  27736 264336   16    0    16     0  179  679 49  4 47  0  0
 4  0 769700 5721160  27744 264336    0    0     0    16  872 2078 48  5 47  0  0
 4  0 769700 5721160  27744 264336    0    0     0     0  175  669 48  4 48  0  0
 4  0 769700 5721160  27744 264336    0    0     0     4  733 1844 49  3 47  0  0
 4  0 769700 5719164  27744 264336    0    0     0     0  187  695 49  3 48  0  0
 4  0 769700 5721232  27744 264336    0    0     0     0  826 2024 49  3 48  0  0
 5  0 769700 5721232  27752 264336    0    0     0    16  181  672 47  6 46  0  0
 4  0 769700 5721232  27752 264336    0    0     0     0  781 1922 50  4 47  0  0
 4  0 769700 5721232  27752 264336    0    0     0     0  188  672 49  3 48  0  0
 4  0 769700 5723408  27752 264336    0    0     0     0  790 1924 49  4 47  0  0
 4  0 769700 5723408  27752 264336    0    0     0     0  171  652 48  5 47  0  0
 4  0 769700 5723408  27760 264312    0    0     0    16  828 2010 49  4 47  0  0
 4  0 769700 5723408  27760 264320    0    0     0     0  172  662 49  4 48  0  0
